Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
106,5487,species,Eurasian Coot,Fulica atra,,Centennial Park,AU-NSW,16 Oct 2025,L54089330,S279609444,,1
107,379,species,Black Swan,Cygnus atratus,,Centennial Park,AU-NSW,16 Oct 2025,L54089330,S279610426,,1
108,534,species,Pacific Black Duck,Anas superciliosa,,Centennial Park,AU-NSW,16 Oct 2025,L54089330,S279608702,,1
109,20270,species,Willie-wagtail,Rhipidura leucophrys,,Centennial Park,AU-NSW,16 Oct 2025,L54089330,S279608894,,1
110,12480,species,Crimson Rosella,Platycercus elegans,,Blue Mountains,AU-NSW,15 Oct 2025,L54058384,S279436426,,1
111,18309,species,White-browed Scrubwren,Sericornis frontalis,,Blue Mountains,AU-NSW,15 Oct 2025,L54058123,S279435350,,1
112,17504,species,Superb Lyrebird,Menura novaehollandiae,,Blue Mountains,AU-NSW,15 Oct 2025,L54058123,S279435295,,1
113,421,species,Ruddy Shelduck,Tadorna ferruginea,,Taronga Zoo,AU-NSW,14 Oct 2025,L54024714,S279266433,,1
114,1573,species,Indian Peafowl,Pavo cristatus,,Taronga Zoo,AU-NSW,14 Oct 2025,L54025426,S279264653,P,1
115,10028,species,Laughing Kookaburra,Dacelo novaeguineae,,Taronga Zoo,AU-NSW,14 Oct 2025,L54024714,S279260928,,1
116,795,species,Australian Brushturkey,Alectura lathami,,Taronga Zoo,AU-NSW,14 Oct 2025,L54021770,S279245757,,1
117,19807,species,Pied Currawong,Strepera graculina,,Taronga Zoo,AU-NSW,14 Oct 2025,L54022048,S279247108,,1
118,27859,species,Common Myna,Acridotheres tristis,,Darling Harbor,AU-NSW,13 Oct 2025,L53987830,S279068718,N,1
119,1853,species,Rock Pigeon,Columba livia,,Royal Botanical Gardens,AU-NSW,13 Oct 2025,L53986696,S279062803,N,1
120,21608,species,Australian Raven,Corvus coronoides,,China Town,AU-NSW,13 Oct 2025,L53985843,S279058912,,1
121,5891,species,Masked Lapwing,Vanellus miles,,Royal Botanical Garden,AU-NSW,13 Oct 2025,L53981687,S279040104,,1
122,19793,species,Australian Magpie,Gymnorhina tibicen,,Royal Botanical Garden,AU-NSW,13 Oct 2025,L53981687,S279039401,,1
123,7413,species,Little Black Cormorant,Phalacrocorax sulcirostris,,Royal Botanical Garden,AU-NSW,13 Oct 2025,L53981687,S279038469,,1
124,7377,species,Little Pied Cormorant,Microcarbo melanoleucos,,Royal Botanical Garden,AU-NSW,13 Oct 2025,L53981687,S279038603,,1
125,5478,species,Dusky Moorhen,Gallinula tenebrosa,,Royal Botanical Garden,AU-NSW,13 Oct 2025,L53981687,S279038702,,1
126,2212,species,Crested Pigeon,Ocyphaps lophotes,,Royal Botanical Garden,AU-NSW,13 Oct 2025,L53981687,S279038956,,1
127,20947,species,Magpie-lark,Grallina cyanoleuca,,Royal Botanical Garden,AU-NSW,13 Oct 2025,L53981687,S279038338,,1
128,19773,species,Gray Butcherbird,Cracticus torquatus,,Royal Botanical Gardens,AU-NSW,13 Oct 2025,L53981484,S279037618,,1
129,459,species,Maned Duck,Chenonetta jubata,,Royal Botanical Gardens,AU-NSW,13 Oct 2025,L53981484,S279037385,,1
130,12212,species,Sulphur-crested Cockatoo,Cacatua galerita,,Royal Botanical Gardens,AU-NSW,13 Oct 2025,L53981123,S279036233,,1
131,12680,species,Rainbow Lorikeet,Trichoglossus moluccanus,,Royal Botanical Gardens,AU-NSW,13 Oct 2025,L53981123,S279035822,,1
132,17808,species,Noisy Miner,Manorina melanocephala,,Royal Botanical Gardens,AU-NSW,13 Oct 2025,L53981123,S279035666,,1
133,7498,species,Australian Ibis,Threskiornis molucca,,Royal Botanical Gardens,AU-NSW,13 Oct 2025,L53980834,S279034408,,1
134,6463,species,Silver Gull,Chroicocephalus novaehollandiae,,Circular Quay,AU-NSW,12 Oct 2025,L53935481,S278818315,,1
135,33973,species,Orange-crowned Warbler,Leiothlypis celata,5,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,1
136,33779,species,Red-winged Blackbird,Agelaius phoeniceus,15,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,1
137,33682,species,Hooded Oriole,Icterus cucullatus,1,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,1
138,25253,species,Bushtit,Psaltriparus minimus,40,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,1
139,24187,species,Barn Swallow,Hirundo rustica,25,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,1
140,24051,species,Bank Swallow,Riparia riparia,1,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,1
141,8487,species,Red-shouldered Hawk,Buteo lineatus,1,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,1
142,7832,species,Osprey,Pandion haliaetus,1,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,1
143,6528,species,Western Gull,Larus occidentalis,3,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,1
146,485,species,Blue-winged Teal,Spatula discors,2,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,1
147,7843,species,White-tailed Kite,Elanus leucurus,,Marsh,US-CA,06 Sep 2025,L49409669,S271825364,,1
148,6231,species,Western Sandpiper,Calidris mauri,,Marsh,US-CA,06 Sep 2025,L49409669,S271818958,,1
149,6227,species,Pectoral Sandpiper,Calidris melanotos,,Marsh,US-CA,06 Sep 2025,L49409669,S271818820,,1
150,6226,species,Least Sandpiper,Calidris minutilla,,Marsh,US-CA,06 Sep 2025,L49409669,S271818921,,1
151,6183,species,Stilt Sandpiper,Calidris himantopus,,Marsh,US-CA,06 Sep 2025,L49409669,S271820738,,1
152,6177,species,Ruff,Calidris pugnax,,Marsh,US-CA,06 Sep 2025,L49409669,S271821375,,1
153,6121,species,Red-necked Phalarope,Phalaropus lobatus,,Marsh,US-CA,06 Sep 2025,L49409669,S271819238,,1
154,612,species,Green-winged Teal,Anas crecca,,Marsh,US-CA,06 Sep 2025,L49409669,S271818581,,1
155,505,species,Gadwall,Mareca strepera,,Marsh,US-CA,06 Sep 2025,L49409669,S271822926,,1
156,501,species,Northern Shoveler,Spatula clypeata,,Marsh,US-CA,06 Sep 2025,L49409669,S271818240,,1
157,487,species,Cinnamon Teal,Spatula cyanoptera,,Marsh,US-CA,06 Sep 2025,L49409669,S271818174,,1
158,25619,species,Swinhoe's White-eye,Zosterops simplex,,Marsh,US-CA,06 Sep 2025,L50576349,S271806914,P,1
159,31076,species,Scaly-breasted Munia,Lonchura punctulata,,Stream,US-CA,03 Sep 2025,L49672049,S271351175,N,1
160,4814,species,Anna's Hummingbird,Calypte anna,,Marsh,US-CA,29 Aug 2025,L49201708,S270269312,,1
161,6126,species,Spotted Sandpiper,Actitis macularius,,Marsh,US-CA,29 Aug 2025,L49670911,S270268197,,1
162,24281,species,Cliff Swallow,Petrochelidon pyrrhonota,,Marsh,US-CA,26 Aug 2025,L49201960,S269751350,,1
163,6748,species,Common Tern,Sterna hirundo,,Marsh,US-CA,26 Aug 2025,L49201960,S269750443,,1
164,5468,species,Common Gallinule,Gallinula galeata,,Marsh,US-CA,26 Aug 2025,L49201960,S269750295,,1
165,6789,species,Royal Tern,Thalasseus maximus,,Bolsa Chica State Park,US-CA,24 Aug 2025,L51981386,S269295790,,1
166,6021,species,Long-billed Curlew,Numenius americanus,,Bolsa Chica State Park,US-CA,24 Aug 2025,L51979363,S269287394,,1
167,7634,species,Reddish Egret,Egretta rufescens,,Bolsa Chica State Park,US-CA,24 Aug 2025,L51979022,S269286049,,1
168,6147,species,Willet,Tringa semipalmata,,Bolsa Chica State Park,US-CA,24 Aug 2025,L51975906,S269272785,,1
169,4831,species,Allen's Hummingbird,Selasphorus sasin,,Marsh,US-CA,09 Aug 2025,L51262527,S266108806,,1
170,28054,species,California Thrasher,Toxostoma redivivum,,Marsh,US-CA,09 Aug 2025,L50353833,S266105029,,1
171,11410,species,Nuttall's Woodpecker,Dryobates nuttallii,,Marsh,US-CA,09 Aug 2025,L50353833,S266105067,,1
172,6888,species,Western Grebe,Aechmophorus occidentalis,,Marsh,US-CA,09 Aug 2025,L48467811,S266090468,,1
173,34028,species,Common Yellowthroat,Geothlypis trichas,,Marsh,US-CA,09 Aug 2025,L48467811,S266084656,,1
174,8506,species,Red-tailed Hawk,Buteo jamaicensis,,Stream,US-CA,09 Aug 2025,L47459861,S266110388,,1
175,6061,species,Long-billed Dowitcher,Limnodromus scolopaceus,,Marsh,US-CA,01 Aug 2025,L48467811,S264327096,,1
176,33350,species,California Towhee,Melozone crissalis,,Marsh,US-CA,27 Jul 2025,L50576229,S263180526,,1
177,6855,species,Pied-billed Grebe,Podilymbus podiceps,,Stream,US-CA,27 Jul 2025,L49740515,S263167368,,1
178,32310,species,House Finch,Haemorhous mexicanus,,Marsh,US-CA,23 Jul 2025,L50353833,S262257425,,1
179,7791,species,American White Pelican,Pelecanus erythrorhynchos,,Marsh,US-CA,23 Jul 2025,L49201960,S262262009,,1
180,5827,species,Killdeer,Charadrius vociferus,,Stream,US-CA,13 Jul 2025,L49740515,S259647919,,1
181,2412,species,Mourning Dove,Zenaida macroura,,Stream,US-CA,12 Jul 2025,L49672049,S259353725,,1
182,28136,species,Western Bluebird,Sialia mexicana,,Marsh,US-CA,12 Jul 2025,L49671879,S259353128,,1
183,21557,species,American Crow,Corvus brachyrhynchos,,Marsh,US-CA,12 Jul 2025,L49670911,S259349081,,1
184,16998,species,Black Phoebe,Sayornis nigricans,,Marsh,US-CA,12 Jul 2025,L49668294,S259338180,,1
185,33277,species,Song Sparrow,Melospiza melodia,,Pond 6-4,US-CA,11 Jul 2025,L47458904,S259025909,,1
186,778,species,Ruddy Duck,Oxyura jamaicensis,,Marsh,US-CA,11 Jul 2025,L48467811,S259015943,,1
187,7424,species,Double-crested Cormorant,Nannopterum auritum,,Marsh,US-CA,11 Jul 2025,L49201960,S259019459,,1
188,6718,species,Caspian Tern,Hydroprogne caspia,,Marsh,US-CA,08 Jul 2025,L49410394,S258247554,,1
189,417,species,Egyptian Goose,Alopochen aegyptiaca,,Marsh,US-CA,08 Jul 2025,L49201708,S258245196,P,1
190,6154,species,Greater Yellowlegs,Tringa melanoleuca,,Marsh,US-CA,08 Jul 2025,L49409669,S258244959,,1
191,5780,species,American Avocet,Recurvirostra americana,,Marsh,US-CA,05 Jul 2025,L49201708,S257344923,,1
192,7729,species,Great Egret,Ardea alba,,Marsh,US-CA,05 Jul 2025,L49201960,S257345794,,1
193,7468,species,White-faced Ibis,Plegadis chihi,,Marsh,US-CA,05 Jul 2025,L49201708,S257344835,,1
194,8278,species,Cooper's Hawk,Astur cooperii,,Spectrum,US-CA,01 Jul 2025,L48896480,S256030484,,1
195,7645,species,Snowy Egret,Egretta thula,,Marsh,US-CA,27 Jun 2025,L48467811,S254711307,,1
196,342,species,Canada Goose,Branta canadensis,,Marsh,US-CA,27 Jun 2025,L48599427,S254708339,,1
197,6622,species,Black Skimmer,Rynchops niger,,Pond 2-3,US-CA,27 Jun 2025,L47458075,S254708267,,1
198,7792,species,Brown Pelican,Pelecanus occidentalis,,Marsh,US-CA,27 Jun 2025,L48599427,S254708408,,1
199,7704,species,Green Heron,Butorides virescens,,Marsh,US-CA,27 Jun 2025,L48599117,S254707105,,1
200,7600,species,Black-crowned Night Heron,Nycticorax nycticorax,,Marsh,US-CA,27 Jun 2025,L48601161,S254715028,,1
201,6891,species,Clark's Grebe,Aechmophorus clarkii,,Marsh,US-CA,27 Jun 2025,L48601161,S254715049,,1
202,5500,species,American Coot,Fulica americana,,Marsh,US-CA,25 Jun 2025,L48467811,S254130375,,1
203,5770,species,Black-necked Stilt,Himantopus mexicanus,,Marsh,US-CA,25 Jun 2025,L48467811,S254130261,,1
204,545,species,Mallard,Anas platyrhynchos,,Stream,US-CA,12 Jun 2025,L47459861,S249640403,,1
205,24064,species,Tree Swallow,Tachycineta bicolor,,Pond 6-4,US-CA,12 Jun 2025,L47458904,S249636121,,1
206,7753,species,Great Blue Heron,Ardea herodias,,Pond 5-3,US-CA,12 Jun 2025,L47458538,S249634249,,1
207,33386,species,Spotted Towhee,Pipilo maculatus,,Pond 2-3,US-CA,12 Jun 2025,L47458075,S249632151,,1
100,275,species,Graylag Goose,Anser anser,,Centennial Park,AU-NSW,16 Oct 2025,L54089330,S279612022,X,0
144,6235,spuh,peep sp.,Calidris sp. (peep sp.),15,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,0
145,6062,slash,Short-billed/Long-billed Dowitcher,Limnodromus griseus/scolopaceus,5,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,14 Sep 2025,L109339,S273646563,,0
